n,ttft
64,0.02806518494617194
64,0.022835095995105803
64,0.02267599292099476
64,0.02280284999869764
64,0.02358313906006515
64,0.022462686989456415
64,0.02300951292272657
64,0.022765826084651053
64,0.026979667018167675
64,0.02253543701954186
128,0.024230787996202707
128,0.024219690007157624
128,0.02403610700275749
128,0.025163438986055553
128,0.02402231900487095
128,0.024160993052646518
128,0.02402014995459467
128,0.024236729950644076
128,0.03159291995689273
128,0.023658213089220226
256,0.029680471983738244
256,0.029246327932924032
256,0.028624668018892407
256,0.030347756925038993
256,0.028856555931270123
256,0.028890962013974786
256,0.029167430009692907
256,0.028705707052722573
256,0.03359711298253387
256,0.028698255075141788
512,0.047357336967252195
512,0.04670836392324418
512,0.047392164007760584
512,0.04663239303044975
512,0.046827940037474036
512,0.0486073000356555
512,0.046825392986647785
512,0.04752103902865201
512,0.052081134053878486
512,0.05957565503194928
1024,0.0801782530033961
1024,0.08005046297330409
1024,0.08000552409794182
1024,0.07928555505350232
1024,0.0795305180363357
1024,0.07913133699912578
1024,0.07992460601963103
1024,0.07963722699787468
1024,0.0867928359657526
1024,0.07974338601343334
2048,0.14719951199367642
2048,0.1471412250539288
2048,0.147088113008067
2048,0.1471483069472015
2048,0.14649450301658362
2048,0.14687521907035261
2048,0.14745310205034912
2048,0.14688001002650708
2048,0.15342802193481475
2048,0.14685985597316176
4096,0.2834732210030779
4096,0.28468630893621594
4096,0.2898793730419129
4096,0.28680609504226595
4096,0.2866791720734909
4096,0.2892904499312863
4096,0.28864133392926306
4096,0.28724118298850954
4096,0.29347917705308646
4096,0.2850347950588912
8192,0.5873140989569947
8192,0.5854891130002216
8192,0.5913556680316105
8192,0.588976243045181
8192,0.591689430992119
8192,0.5892448830418289
8192,0.5898001759778708
8192,0.5875015889760107
8192,0.5941473901038989
8192,0.5898380220169201
12000,0.892555795959197
12000,0.8918234209995717
12000,0.8888767149765044
12000,0.8869767020223662
12000,0.8895863479701802
12000,0.8875369230518118
12000,0.8868418351048604
12000,0.8862710579996929
12000,0.8933849739842117
12000,0.8917409260757267
16000,1.2351957629434764
16000,1.236529633984901
16000,1.2332667330047116
16000,1.2381332719232887
16000,1.2369919900083914
16000,1.237507477053441
16000,1.2398411700269207
16000,1.2436874309787527
16000,1.2440964280394837
16000,1.239779905998148
24000,1.941111825988628
24000,1.9404432530282065
24000,1.9362956620752811
24000,1.9337491589831188
24000,1.9349704420892522
24000,1.9359349970472977
24000,1.937358075985685
24000,1.9377948039909825
24000,1.9607723009539768
24000,1.9356218409957364
