B,resident_context_sum,kappa,P_k,t_iter_observed
4,16391.0,8192,0,0.5656227375147864
4,16399.0,8192,8192,0.6601141984574497
4,16403.0,7616,16384,0.7031773195485584
4,16389.0,8192,0,0.5625774814398028
4,16397.0,8192,8192,0.6630242160172202
4,16401.0,7616,16384,0.6935005889390595
4,16391.0,8192,0,0.5652454789960757
4,16399.0,8192,8192,0.6612086179666221
4,16403.0,7616,16384,0.6941837425110862
4,16389.0,8192,0,0.5616316215018742
4,16397.0,8192,8192,0.6640206575393677
4,16401.0,7616,16384,0.6953153449576348
4,16390.0,8192,0,0.5637310064630583
4,16398.0,8192,8192,0.6621508315438405
4,16402.0,7616,16384,0.7091467650025152
4,16397.0,8192,0,0.5580116334604099
4,16401.0,8192,8192,0.6617871730122715
4,16405.0,7616,16384,0.7035416035214439
4,16389.0,8192,0,0.5616362119908445
4,16397.0,8192,8192,0.6678626380162314
4,16401.0,7616,16384,0.6975281025515869
4,16389.0,8192,0,0.5611254204413854
4,16397.0,8192,8192,0.6671971379546449
4,16401.0,7616,16384,0.7003306249971502
4,16391.0,8192,0,0.565338664513547
4,16399.0,8192,8192,0.6633286084979773
4,16403.0,7616,16384,0.6959909810102545
4,16389.0,8192,0,0.5614778070012107
4,16397.0,8192,8192,0.6629604239715263
4,16401.0,7616,16384,0.6972706275410019
8,32780.0,8192,0,0.5668496889993548
8,32792.0,8192,8192,0.6158762214472517
8,32800.0,7616,16384,0.6841792220366187
8,32782.0,8192,0,0.5689102865289897
8,32795.0,8192,8192,0.6552774109877646
8,32803.0,7616,16384,0.6964264765265398
8,32781.0,8192,0,0.5692830184707418
8,32794.0,8192,8192,0.6533258614945225
8,28703.0,7616,16384,0.700159163097851
8,32780.0,8192,0,0.5655847685411572
8,32792.0,8192,8192,0.6109908879734576
8,32800.0,7616,16384,0.6874767075059935
8,32780.0,8192,0,0.5685471995384432
8,32792.0,8192,8192,0.6146971480338834
8,32800.0,7616,16384,0.6844805994769558
8,32779.0,8192,0,0.5687187404837459
8,32791.0,8192,8192,0.6121266280533746
8,32799.0,7616,16384,0.6829670529696159
8,32780.0,8192,0,0.5685034454800189
8,32792.0,8192,8192,0.6157106435275637
8,32800.0,7616,16384,0.6838190204580314
8,32780.0,8192,0,0.5682203319738619
8,32792.0,8192,8192,0.6116480339551345
8,32800.0,7616,16384,0.6840004280093126
8,32778.0,8192,0,0.5667230449616909
8,32792.0,8192,8192,0.6137717385427095
8,32800.0,7616,16384,0.6857991690631025
8,32779.0,8192,0,0.5688686010544188
8,32791.0,8192,8192,0.6173681674990803
8,32799.0,7616,16384,0.6817212795140222
16,65573.0,8192,0,0.5674505440401845
16,65611.0,8192,8192,0.6107849915279076
16,65627.0,7616,16384,0.6870360579923727
16,65603.0,8192,0,0.5764760439633392
16,65619.0,8192,8192,0.6435968889854848
16,61536.0,7616,16384,0.7139762219740078
16,65573.0,8192,0,0.5682315485319123
16,65611.0,8192,8192,0.612698414013721
16,65627.0,7616,16384,0.6855826874962077
16,65562.0,8192,0,0.5672614579671063
16,65612.0,8192,8192,0.614519722526893
16,65628.0,7616,16384,0.6896340700332075
16,65574.0,8192,0,0.5664651375263929
16,65612.0,8192,8192,0.6160632175742649
16,65628.0,7616,16384,0.6877995480317622
16,65561.0,8192,0,0.5661564210313372
16,65611.0,8192,8192,0.6193715095287189
16,65627.0,7616,16384,0.6903588229324669
16,65573.0,8192,0,0.5646841659909114
16,65611.0,8192,8192,0.6158809310290962
16,65627.0,7616,16384,0.6872395540121943
16,65562.0,8192,0,0.5686821664567105
16,65612.0,8192,8192,0.6115129359532148
16,65628.0,7616,16384,0.6905216469895095
16,65602.0,8192,0,0.5781905534677207
16,65618.0,8192,8192,0.6452694490435533
16,61535.0,7616,16384,0.71022772800643
16,65574.0,8192,0,0.565929563541431
16,65612.0,8192,8192,0.6151277215103619
16,65628.0,7616,16384,0.6872190119465813
32,131331.0,8192,0,0.5735215984750539
32,131363.0,8192,8192,0.6510127994115464
32,131395.0,7616,16384,0.7281979604740627
32,131198.0,8192,0,0.56752078095451
32,131348.0,8192,8192,0.6088970825076103
32,131380.0,7616,16384,0.6915384815074503
32,131170.0,8192,0,0.5688303629867733
32,131348.0,8192,8192,0.6049336465075612
32,131380.0,7616,16384,0.6876899215276353
32,131159.0,8192,0,0.5658748779678717
32,131347.0,8192,8192,0.6067288744961843
32,131379.0,7616,16384,0.6909788139746524
32,131159.0,8192,0,0.5700638024136424
32,131347.0,8192,8192,0.6069335815263912
32,131379.0,7616,16384,0.6924533860292286
32,131331.0,8192,0,0.5780415979679674
32,131363.0,8192,8192,0.6491459614480846
32,127296.0,7616,16384,0.7259020549245179
32,131266.0,8192,0,0.5741871504578739
32,131363.0,8192,8192,0.6543812974705361
32,127296.0,7616,16384,0.7308040590723976
32,131169.0,8192,0,0.5697226935299113
32,131347.0,8192,8192,0.6072107894578949
32,131379.0,7616,16384,0.6911780204973184
32,131170.0,8192,0,0.5680796590168029
32,131348.0,8192,8192,0.6074784900411032
32,131380.0,7616,16384,0.6902590275276452
32,131190.0,8192,0,0.5669095814810134
32,131348.0,8192,8192,0.606257543026004
32,131380.0,7616,16384,0.6896050335490145
