B,repeat,stream_index,k,start_minus_fire,end_minus_fire,t_iter_observed,injection_ttft
4,0,0,73,-0.00618363544344902,0.0052041662856936455,0.011387801729142666,0.22698934469372034
4,0,0,74,0.0052041662856936455,0.016483637504279613,0.011279471218585968,0.22698934469372034
4,0,0,75,0.016483637504279613,0.0292867012321949,0.012803063727915287,0.22698934469372034
4,0,0,76,0.0292867012321949,0.11360178329050541,0.08431508205831051,0.22698934469372034
4,0,0,77,0.11360178329050541,0.21134535875171423,0.09774357546120882,0.22698934469372034
4,0,0,78,0.21134535875171423,0.22670782543718815,0.015362466685473919,0.22698934469372034
4,0,0,79,0.22670782543718815,0.2345122266560793,0.007804401218891144,0.22698934469372034
4,0,1,74,-0.006073128432035446,0.0053032878786325455,0.011376416310667992,0.22698934469372034
4,0,1,75,0.0053032878786325455,0.01658874750137329,0.011285459622740746,0.22698934469372034
4,0,1,76,0.01658874750137329,0.02938059438019991,0.012791846878826618,0.22698934469372034
4,0,1,77,0.02938059438019991,0.11375442799180746,0.08437383361160755,0.22698934469372034
4,0,1,78,0.11375442799180746,0.21144685056060553,0.09769242256879807,0.22698934469372034
4,0,1,79,0.21144685056060553,0.22733255848288536,0.015885707922279835,0.22698934469372034
4,0,2,74,-0.006133402697741985,0.005255316384136677,0.011388719081878662,0.22698934469372034
4,0,2,75,0.005255316384136677,0.01653334405273199,0.011278027668595314,0.22698934469372034
4,0,2,76,0.01653334405273199,0.029328947886824608,0.012795603834092617,0.22698934469372034
4,0,2,77,0.029328947886824608,0.11369754746556282,0.08436859957873821,0.22698934469372034
4,0,2,78,0.11369754746556282,0.2113984040915966,0.09770085662603378,0.22698934469372034
4,0,2,79,0.2113984040915966,0.22727970592677593,0.01588130183517933,0.22698934469372034
4,0,3,72,-0.006262139417231083,0.005111566744744778,0.01137370616197586,0.22698934469372034
4,0,3,73,0.005111566744744778,0.01640141662210226,0.011289849877357483,0.22698934469372034
4,0,3,74,0.01640141662210226,0.029223589226603508,0.012822172604501247,0.22698934469372034
4,0,3,75,0.029223589226603508,0.11351094115525484,0.08428735192865133,0.22698934469372034
4,0,3,76,0.11351094115525484,0.2112512495368719,0.09774030838161707,0.22698934469372034
4,0,3,77,0.2112512495368719,0.22662174422293901,0.015370494686067104,0.22698934469372034
4,0,3,78,0.22662174422293901,0.23442975338548422,0.007808009162545204,0.22698934469372034
