B,resident_context_sum,kappa,P_k,t_iter_observed
4,16395.0,8192,0,0.5569907064782456
4,16399.0,8192,8192,0.6645484624314122
4,16403.0,7616,16384,0.6971930305007845
4,16395.0,8192,0,0.5594382709823549
4,16399.0,8192,8192,0.6630117355380207
4,16403.0,7616,16384,0.700498110963963
4,16390.0,8192,0,0.564548394002486
4,16398.0,8192,8192,0.6610535679501481
4,16402.0,7616,16384,0.696102071495261
4,16395.0,8192,0,0.5588143990025856
4,16399.0,8192,8192,0.6586626059724949
4,16403.0,7616,16384,0.6981094839866273
4,16389.0,8192,0,0.5623033349402249
4,16397.0,8192,8192,0.6639536470174789
4,16401.0,7616,16384,0.6990812784642912
4,16391.0,8192,0,0.5645946345175616
4,16399.0,8192,8192,0.6625027355039492
4,16403.0,7616,16384,0.6971628550090827
4,16395.0,8192,0,0.5588192385039292
4,16399.0,8192,8192,0.6617995880078524
4,16403.0,7616,16384,0.6952877525473014
4,16397.0,8192,0,0.5603425250155851
4,16401.0,8192,8192,0.6641796575277112
4,16405.0,7616,16384,0.6987807240220718
4,16389.0,8192,0,0.5602285739732906
4,16397.0,8192,8192,0.6631013445439748
4,16401.0,7616,16384,0.6938984980224632
4,16389.0,8192,0,0.5616430134978145
4,16397.0,8192,8192,0.6650398915517144
4,16401.0,7616,16384,0.6978053619968705
8,32780.0,8192,0,0.5675799670279957
8,32795.0,8192,8192,0.6549227289506234
8,32803.0,7616,16384,0.703240477014333
8,32777.0,8192,0,0.5663538859807886
8,32791.0,8192,8192,0.6178904179832898
8,32799.0,7616,16384,0.6780905019841157
8,32780.0,8192,0,0.5675806120270863
8,32792.0,8192,8192,0.6179857850074768
8,32800.0,7616,16384,0.6832633610465564
8,32782.0,8192,0,0.5712636355310678
8,32795.0,8192,8192,0.6553314084885642
8,32803.0,7616,16384,0.6990170300123282
8,32779.0,8192,0,0.569904302014038
8,32791.0,8192,8192,0.6175407805130817
8,32799.0,7616,16384,0.6810238219914027
8,32780.0,8192,0,0.5689376624650322
8,32792.0,8192,8192,0.6127983549959026
8,32800.0,7616,16384,0.6816319505451247
8,32782.0,8192,0,0.5706456169718876
8,32795.0,8192,8192,0.6559593860292807
8,32804.0,7616,16384,0.6963091539801098
8,32778.0,8192,0,0.5688014614861459
8,32793.0,8192,8192,0.6142942314618267
8,32801.0,7616,16384,0.6819870584877208
8,32778.0,8192,0,0.5741658869665116
8,32793.0,8192,8192,0.6193370025139302
8,32801.0,7616,16384,0.6815799174946733
8,32780.0,8192,0,0.5698465945315547
8,32792.0,8192,8192,0.615399087429978
8,32800.0,7616,16384,0.6818855584715493
16,65562.0,8192,0,0.5656473185517825
16,65612.0,8192,8192,0.6117336010211147
16,65628.0,7616,16384,0.6891801605233923
16,65603.0,8192,0,0.5812150359270163
16,65619.0,8192,8192,0.6489238195354119
16,65636.0,7616,16384,0.7057926739798859
16,65573.0,8192,0,0.5671360270353034
16,65611.0,8192,8192,0.6132508129812777
16,65627.0,7616,16384,0.690124703978654
16,65574.0,8192,0,0.5678208660101518
16,65612.0,8192,8192,0.6108135704998858
16,65628.0,7616,16384,0.6865923044970259
16,65574.0,8192,0,0.5673481474514119
16,65612.0,8192,8192,0.6152668535360135
16,65628.0,7616,16384,0.686634793994017
16,65566.0,8192,0,0.5764444855158217
16,65612.0,8192,8192,0.6138967864681035
16,65628.0,7616,16384,0.6888255605008453
16,65602.0,8192,0,0.5744344264967367
16,65618.0,8192,8192,0.6439764620154165
16,65634.0,7616,16384,0.7086297920322977
16,65604.0,8192,0,0.5802288400009274
16,65620.0,8192,8192,0.6466091279871762
16,65636.0,7616,16384,0.710364650527481
16,65602.0,8192,0,0.5784355505020358
16,65618.0,8192,8192,0.6467285225517116
16,61535.0,7616,16384,0.7164209029870108
16,65570.0,8192,0,0.5684942145016976
16,65613.0,8192,8192,0.6133587715448812
16,65629.0,7616,16384,0.6859642199706286
32,131240.0,8192,0,0.5717557280440815
32,131348.0,8192,8192,0.6065934739890508
32,131380.0,7616,16384,0.692737084988039
32,131330.0,8192,0,0.5751769990311004
32,131362.0,8192,8192,0.6512087269802578
32,131394.0,7616,16384,0.7353681674576364
32,131168.0,8192,0,0.5675686354516074
32,131348.0,8192,8192,0.6082069175317883
32,131380.0,7616,16384,0.6915112460264936
32,131330.0,8192,0,0.5788938634796068
32,131362.0,8192,8192,0.6535687065334059
32,131394.0,7616,16384,0.7235319589963183
32,131195.0,8192,0,0.5685851744492538
32,131348.0,8192,8192,0.6071044430718757
32,131380.0,7616,16384,0.6868855800130405
32,131170.0,8192,0,0.5710554720717482
32,131348.0,8192,8192,0.6029329755110666
32,131380.0,7616,16384,0.6876695905230008
32,131191.0,8192,0,0.566178705485072
32,131348.0,8192,8192,0.6075426710303873
32,131380.0,7616,16384,0.6882470995187759
32,131332.0,8192,0,0.5770383310155012
32,131364.0,8192,8192,0.6526474055135623
32,131396.0,7616,16384,0.7207524260156788
32,131332.0,8192,0,0.5765934325172566
32,131364.0,8192,8192,0.6537359420326538
32,127297.0,7616,16384,0.7235574160004035
32,131330.0,8192,0,0.576754127512686
32,131362.0,8192,8192,0.6511926759849302
32,131394.0,7616,16384,0.7226477735093795
