n,ttft
64,0.03116459201555699
64,0.02297359809745103
64,0.02249906992074102
64,0.022726291907019913
64,0.023942283005453646
64,0.022152103949338198
64,0.021839182008989155
64,0.02191073796711862
64,0.02567919297143817
64,0.022406121948733926
128,0.0307894020806998
128,0.023497242014855146
128,0.025606876937672496
128,0.023991051013581455
128,0.024020044947974384
128,0.024187529925256968
128,0.025707394001074135
128,0.023397457087412477
128,0.023717302014119923
128,0.023854763014242053
256,0.03620858397334814
256,0.029509887914173305
256,0.029347943025641143
256,0.030423610005527735
256,0.029195670038461685
256,0.029074455029331148
256,0.028991454979404807
256,0.028809902956709266
256,0.028573566931299865
256,0.031070646014995873
512,0.05442564899567515
512,0.04744443204253912
512,0.04695950401946902
512,0.04666660388465971
512,0.04713713505771011
512,0.047079369076527655
512,0.047057582065463066
512,0.04756828094832599
512,0.046633847057819366
512,0.04692728095687926
1024,0.08601770794484764
1024,0.07937607204075903
1024,0.07936296798288822
1024,0.08014374098274857
1024,0.08033184090163559
1024,0.07990278594661504
1024,0.0797659020172432
1024,0.07926398597192019
1024,0.07948333700187504
1024,0.07951213198248297
2048,0.15501630096696317
2048,0.14815424603875726
2048,0.14888674102257937
2048,0.14725549309514463
2048,0.14773132500704378
2048,0.14756517810747027
2048,0.14721134293358773
2048,0.14740837609861046
2048,0.14809448295272887
2048,0.14835523697547615
4096,0.2934268129756674
4096,0.28681499196682125
4096,0.2898231929866597
4096,0.28692947200033814
4096,0.2872566540027037
4096,0.2890567739959806
4096,0.28791469894349575
4096,0.2874510489637032
4096,0.2867697949986905
4096,0.28743826993741095
8192,0.593644423992373
8192,0.5900795999914408
8192,0.5885566760553047
8192,0.5954875820316374
8192,0.5872762649087235
8192,0.5863400769885629
8192,0.5878629189683124
8192,0.5880499940831214
8192,0.5882798989769071
8192,0.5876431129872799
12000,0.9041591830318794
12000,0.8900623330846429
12000,0.8898919989587739
12000,0.8890624470077455
12000,0.8905905210413039
12000,0.884559000027366
12000,0.8904017949244007
12000,0.895607247017324
12000,0.8855928019620478
12000,0.8916125019313768
16000,1.246982111944817
16000,1.2339935180498287
16000,1.2372052039718255
16000,1.233697546995245
16000,1.2416116850217804
16000,1.2406376210274175
16000,1.237432750989683
16000,1.237686084001325
16000,1.2342304839985445
16000,1.2367135010426864
24000,1.95640900102444
24000,1.9435910281026736
24000,1.9396466379985213
24000,1.9424046500353143
24000,1.932232363964431
24000,1.9359312279848382
24000,1.9350507999770343
24000,1.938020367990248
24000,1.9478403620887548
24000,1.9447664599865675
