B,repeat,stream_index,k,start_minus_fire,end_minus_fire,t_iter_observed,injection_ttft
8,0,0,59,-0.006054340861737728,0.0073499372228980064,0.013404278084635735,0.9376897532492876
8,0,0,60,0.0073499372228980064,0.017459732480347157,0.01010979525744915,0.9376897532492876
8,0,0,61,0.017459732480347157,0.03239092975854874,0.01493119727820158,0.9376897532492876
8,0,0,62,0.03239092975854874,0.11241551302373409,0.08002458326518536,0.9376897532492876
8,0,0,63,0.11241551302373409,0.21110491268336773,0.09868939965963364,0.9376897532492876
8,0,0,64,0.21110491268336773,0.31586110312491655,0.10475619044154882,0.9376897532492876
8,0,0,65,0.31586110312491655,0.42625807877629995,0.1103969756513834,0.9376897532492876
8,0,0,66,0.42625807877629995,0.5428019855171442,0.11654390674084425,0.9376897532492876
8,0,0,67,0.5428019855171442,0.6642294516786933,0.12142746616154909,0.9376897532492876
8,0,0,68,0.6642294516786933,0.7945267846807837,0.13029733300209045,0.9376897532492876
8,0,0,69,0.7945267846807837,0.9387871716171503,0.14426038693636656,0.9376897532492876
8,0,1,55,-0.006319320760667324,0.007088754326105118,0.013408075086772442,0.9376897532492876
8,0,1,56,0.007088754326105118,0.017161116003990173,0.010072361677885056,0.9376897532492876
8,0,1,57,0.017161116003990173,0.032112219370901585,0.014951103366911411,0.9376897532492876
8,0,1,58,0.032112219370901585,0.11214705277234316,0.08003483340144157,0.9376897532492876
8,0,1,59,0.11214705277234316,0.2108287224546075,0.09868166968226433,0.9376897532492876
8,0,1,60,0.2108287224546075,0.3155751023441553,0.10474637988954782,0.9376897532492876
8,0,1,61,0.3155751023441553,0.42597910203039646,0.11040399968624115,0.9376897532492876
8,0,1,62,0.42597910203039646,0.5425555342808366,0.11657643225044012,0.9376897532492876
8,0,1,63,0.5425555342808366,0.66391871124506,0.12136317696422338,0.9376897532492876
8,0,1,64,0.66391871124506,0.7942357631400228,0.1303170518949628,0.9376897532492876
8,0,1,65,0.7942357631400228,0.9381100051105022,0.1438742419704795,0.9376897532492876
8,0,2,58,-0.0062278760597109795,0.007201198488473892,0.013429074548184872,0.9376897532492876
8,0,2,59,0.007201198488473892,0.017266680486500263,0.010065481998026371,0.9376897532492876
8,0,2,60,0.017266680486500263,0.032208532094955444,0.014941851608455181,0.9376897532492876
8,0,2,61,0.032208532094955444,0.11224847100675106,0.08003993891179562,0.9376897532492876
8,0,2,62,0.11224847100675106,0.21093037351965904,0.09868190251290798,0.9376897532492876
8,0,2,63,0.21093037351965904,0.31570197455585003,0.10477160103619099,0.9376897532492876
8,0,2,64,0.31570197455585003,0.42608433309942484,0.11038235854357481,0.9376897532492876
8,0,2,65,0.42608433309942484,0.542647385969758,0.1165630528703332,0.9376897532492876
8,0,2,66,0.542647385969758,0.6640166556462646,0.12136926967650652,0.9376897532492876
8,0,2,67,0.6640166556462646,0.7943432833999395,0.13032662775367498,0.9376897532492876
8,0,2,68,0.7943432833999395,0.938270497135818,0.14392721373587847,0.9376897532492876
8,0,3,57,-0.006403421051800251,0.007006792351603508,0.013410213403403759,0.9376897532492876
8,0,3,58,0.007006792351603508,0.017053878866136074,0.010047086514532566,0.9376897532492876
8,0,3,59,0.017053878866136074,0.03201678488403559,0.014962906017899513,0.9376897532492876
8,0,3,60,0.03201678488403559,0.1120209526270628,0.08000416774302721,0.9376897532492876
8,0,3,61,0.1120209526270628,0.21072598826140165,0.09870503563433886,0.9376897532492876
8,0,3,62,0.21072598826140165,0.315405510365963,0.10467952210456133,0.9376897532492876
8,0,3,63,0.315405510365963,0.42587034311145544,0.11046483274549246,0.9376897532492876
8,0,3,64,0.42587034311145544,0.5424452824518085,0.11657493934035301,0.9376897532492876
8,0,3,65,0.5424452824518085,0.6638338528573513,0.12138857040554285,0.9376897532492876
8,0,3,66,0.6638338528573513,0.794118701480329,0.13028484862297773,0.9376897532492876
8,0,3,67,0.794118701480329,0.9367095464840531,0.1425908450037241,0.9376897532492876
8,0,3,68,0.9367095464840531,0.9389422321692109,0.002232685685157776,0.9376897532492876
8,0,4,56,-0.006009835749864578,0.007399158552289009,0.013408994302153587,0.9376897532492876
8,0,4,57,0.007399158552289009,0.0175096457824111,0.01011048723012209,0.9376897532492876
8,0,4,58,0.0175096457824111,0.032437559217214584,0.014927913434803486,0.9376897532492876
8,0,4,59,0.032437559217214584,0.11246359162032604,0.08002603240311146,0.9376897532492876
8,0,4,60,0.11246359162032604,0.21115476544946432,0.09869117382913828,0.9376897532492876
8,0,4,61,0.21115476544946432,0.31591650377959013,0.10476173833012581,0.9376897532492876
8,0,4,62,0.31591650377959013,0.42630321253091097,0.11038670875132084,0.9376897532492876
8,0,4,63,0.42630321253091097,0.5428474759683013,0.11654426343739033,0.9376897532492876
8,0,4,64,0.5428474759683013,0.6642769575119019,0.12142948154360056,0.9376897532492876
8,0,4,65,0.6642769575119019,0.7945742532610893,0.13029729574918747,0.9376897532492876
8,0,4,66,0.7945742532610893,0.9388715559616685,0.14429730270057917,0.9376897532492876
8,0,5,56,-0.006147950887680054,0.007250658236443996,0.01339860912412405,0.9376897532492876
8,0,5,57,0.007250658236443996,0.01731689367443323,0.010066235437989235,0.9376897532492876
8,0,5,58,0.01731689367443323,0.03229381702840328,0.01497692335397005,0.9376897532492876
8,0,5,59,0.03229381702840328,0.11229487601667643,0.08000105898827314,0.9376897532492876
8,0,5,60,0.11229487601667643,0.21097876969724894,0.09868389368057251,0.9376897532492876
8,0,5,61,0.21097876969724894,0.31575682759284973,0.1047780578956008,0.9376897532492876
8,0,5,62,0.31575682759284973,0.4261291567236185,0.11037232913076878,0.9376897532492876
8,0,5,63,0.4261291567236185,0.5426909802481532,0.1165618235245347,0.9376897532492876
8,0,5,64,0.5426909802481532,0.6641352465376258,0.12144426628947258,0.9376897532492876
8,0,5,65,0.6641352465376258,0.7943899882957339,0.13025474175810814,0.9376897532492876
8,0,5,66,0.7943899882957339,0.9383357800543308,0.1439457917585969,0.9376897532492876
8,0,6,55,-0.006272939033806324,0.007147328928112984,0.013420267961919308,0.9376897532492876
8,0,6,56,0.007147328928112984,0.017215749248862267,0.010068420320749283,0.9376897532492876
8,0,6,57,0.017215749248862267,0.03216199763119221,0.01494624838232994,0.9376897532492876
8,0,6,58,0.03216199763119221,0.1121986135840416,0.08003661595284939,0.9376897532492876
8,0,6,59,0.1121986135840416,0.21088146790862083,0.09868285432457924,0.9376897532492876
8,0,6,60,0.21088146790862083,0.3156430162489414,0.10476154834032059,0.9376897532492876
8,0,6,61,0.3156430162489414,0.42603592574596405,0.11039290949702263,0.9376897532492876
8,0,6,62,0.42603592574596405,0.5426039816811681,0.11656805593520403,0.9376897532492876
8,0,6,63,0.5426039816811681,0.663967551663518,0.12136356998234987,0.9376897532492876
8,0,6,64,0.663967551663518,0.7942909831181169,0.1303234314545989,0.9376897532492876
8,0,6,65,0.7942909831181169,0.9382012402638793,0.14391025714576244,0.9376897532492876
8,0,7,57,-0.0061004888266325,0.007301007397472858,0.013401496224105358,0.9376897532492876
8,0,7,58,0.007301007397472858,0.01740699913352728,0.01010599173605442,0.9376897532492876
8,0,7,59,0.01740699913352728,0.032344235107302666,0.014937235973775387,0.9376897532492876
8,0,7,60,0.032344235107302666,0.11234495975077152,0.08000072464346886,0.9376897532492876
8,0,7,61,0.11234495975077152,0.21106025855988264,0.09871529880911112,0.9376897532492876
8,0,7,62,0.21106025855988264,0.3158089378848672,0.10474867932498455,0.9376897532492876
8,0,7,63,0.3158089378848672,0.426211160607636,0.11040222272276878,0.9376897532492876
8,0,7,64,0.426211160607636,0.5427332520484924,0.11652209144085646,0.9376897532492876
8,0,7,65,0.5427332520484924,0.6641831714659929,0.1214499194175005,0.9376897532492876
8,0,7,66,0.6641831714659929,0.7944748271256685,0.1302916556596756,0.9376897532492876
8,0,7,67,0.7944748271256685,0.9384025344625115,0.143927707336843,0.9376897532492876
8,1,0,59,-0.010006540454924107,0.002193518914282322,0.012200059369206429,0.9292544825002551
8,1,0,60,0.002193518914282322,0.013079549185931683,0.01088603027164936,0.9292544825002551
8,1,0,61,0.013079549185931683,0.02738186251372099,0.014302313327789307,0.9292544825002551
8,1,0,62,0.02738186251372099,0.10832683183252811,0.08094496931880713,0.9292544825002551
8,1,0,63,0.10832683183252811,0.20720400847494602,0.09887717664241791,0.9292544825002551
8,1,0,64,0.20720400847494602,0.3108154181391001,0.10361140966415405,0.9292544825002551
8,1,0,65,0.3108154181391001,0.4212644165381789,0.11044899839907885,0.9292544825002551
