B,repeat,stream_index,k,start_minus_fire,end_minus_fire,t_iter_observed,injection_ttft
8,0,0,57,-0.0036215719301253557,0.008560608024708927,0.012182179954834282,0.9386940749827772
8,0,0,58,0.008560608024708927,0.01958375098183751,0.011023142957128584,0.9386940749827772
8,0,0,59,0.01958375098183751,0.03381487505976111,0.014231124077923596,0.9386940749827772
8,0,0,60,0.03381487505976111,0.11884936108253896,0.08503448602277786,0.9386940749827772
8,0,0,61,0.11884936108253896,0.21697727998252958,0.09812791889999062,0.9386940749827772
8,0,0,62,0.21697727998252958,0.3208417419809848,0.10386446199845523,0.9386940749827772
8,0,0,63,0.3208417419809848,0.430397876072675,0.10955613409169018,0.9386940749827772
8,0,0,64,0.430397876072675,0.5460636629723012,0.11566578689962626,0.9386940749827772
8,0,0,65,0.5460636629723012,0.6681659569730982,0.12210229400079697,0.9386940749827772
8,0,0,66,0.6681659569730982,0.796381670050323,0.1282157130772248,0.9386940749827772
8,0,0,67,0.796381670050323,0.9392381299985573,0.14285645994823426,0.9386940749827772
8,0,1,58,-0.0035783000057563186,0.008612134028226137,0.012190434033982456,0.9386940749827772
8,0,1,59,0.008612134028226137,0.019671596004627645,0.011059461976401508,0.9386940749827772
8,0,1,60,0.019671596004627645,0.03385691798757762,0.014185321982949972,0.9386940749827772
8,0,1,61,0.03385691798757762,0.11890092503745109,0.08504400704987347,0.9386940749827772
8,0,1,62,0.11890092503745109,0.21704055403824896,0.09813962900079787,0.9386940749827772
8,0,1,63,0.21704055403824896,0.32090776204131544,0.10386720800306648,0.9386940749827772
8,0,1,64,0.32090776204131544,0.4304615689907223,0.10955380694940686,0.9386940749827772
8,0,1,65,0.4304615689907223,0.5461209630593657,0.11565939406864345,0.9386940749827772
8,0,1,66,0.5461209630593657,0.6682240410009399,0.12210307794157416,0.9386940749827772
8,0,1,67,0.6682240410009399,0.7964408540865406,0.12821681308560073,0.9386940749827772
8,0,1,68,0.7964408540865406,0.9393172659911215,0.1428764119045809,0.9386940749827772
8,0,2,54,-0.0034338749246671796,0.008811576990410686,0.012245451915077865,0.9386940749827772
8,0,2,55,0.008811576990410686,0.019805908086709678,0.010994331096298993,0.9386940749827772
8,0,2,56,0.019805908086709678,0.03398931701667607,0.01418340892996639,0.9386940749827772
8,0,2,57,0.03398931701667607,0.11904386105015874,0.08505454403348267,0.9386940749827772
8,0,2,58,0.11904386105015874,0.2172132070409134,0.09816934599075466,0.9386940749827772
8,0,2,59,0.2172132070409134,0.3211058200104162,0.1038926129695028,0.9386940749827772
8,0,2,60,0.3211058200104162,0.43065471097361296,0.10954889096319675,0.9386940749827772
8,0,2,61,0.43065471097361296,0.5462855810765177,0.11563087010290474,0.9386940749827772
8,0,2,62,0.5462855810765177,0.6683936190092936,0.12210803793277591,0.9386940749827772
8,0,2,63,0.6683936190092936,0.7966035919962451,0.12820997298695147,0.9386940749827772
8,0,2,64,0.7966035919962451,0.939551503979601,0.14294791198335588,0.9386940749827772
8,0,3,56,-0.003664479940198362,0.008506934042088687,0.01217141398228705,0.9386940749827772
8,0,3,57,0.008506934042088687,0.01953877799678594,0.011031843954697251,0.9386940749827772
8,0,3,58,0.01953877799678594,0.03377054200973362,0.014231764012947679,0.9386940749827772
8,0,3,59,0.03377054200973362,0.1187932969769463,0.08502275496721268,0.9386940749827772
8,0,3,60,0.1187932969769463,0.21691488299984485,0.09812158602289855,0.9386940749827772
8,0,3,61,0.21691488299984485,0.32077294297050685,0.103858059970662,0.9386940749827772
8,0,3,62,0.32077294297050685,0.4303302200278267,0.10955727705731988,0.9386940749827772
8,0,3,63,0.4303302200278267,0.5459977929713205,0.11566757294349372,0.9386940749827772
8,0,3,64,0.5459977929713205,0.6681071930797771,0.12210940010845661,0.9386940749827772
8,0,3,65,0.6681071930797771,0.7963224130216986,0.12821521994192153,0.9386940749827772
8,0,3,66,0.7963224130216986,0.9391580100636929,0.14283559704199433,0.9386940749827772
8,0,4,56,-0.003817328019067645,0.00832873408216983,0.012146062101237476,0.9386940749827772
8,0,4,57,0.00832873408216983,0.019409689004532993,0.011080954922363162,0.9386940749827772
8,0,4,58,0.019409689004532993,0.0336110059870407,0.014201316982507706,0.9386940749827772
8,0,4,59,0.0336110059870407,0.11855772405397147,0.08494671806693077,0.9386940749827772
8,0,4,60,0.11855772405397147,0.21661205508280545,0.09805433102883399,0.9386940749827772
8,0,4,61,0.21661205508280545,0.3204497470287606,0.10383769194595516,0.9386940749827772
8,0,4,62,0.3204497470287606,0.4301167690427974,0.10966702201403677,0.9386940749827772
8,0,4,63,0.4301167690427974,0.5456938460702077,0.11557707702741027,0.9386940749827772
8,0,4,64,0.5456938460702077,0.6678299240302294,0.1221360779600218,0.9386940749827772
