n,ttft
64,0.024967600009404123
64,0.01721101498696953
64,0.016614489955827594
64,0.0167656660778448
64,0.016339686000719666
64,0.017770922975614667
64,0.01968530099838972
64,0.016733061987906694
64,0.0169646090362221
64,0.016501102945767343
128,0.018066252931021154
128,0.017464253935031593
128,0.01773498603142798
128,0.017049859976395965
128,0.017129522981122136
128,0.017499880050309002
128,0.01712494797538966
128,0.017076637013815343
128,0.01701860805042088
128,0.017270280979573727
256,0.01983505696989596
256,0.018763963948003948
256,0.01854407403152436
256,0.0186269860714674
256,0.018535612034611404
256,0.018688883050344884
256,0.023369850008748472
256,0.01884465792682022
256,0.019779750029556453
256,0.01872933201957494
512,0.02716213499661535
512,0.027532018953934312
512,0.028660963056609035
512,0.0278986650519073
512,0.027790599036961794
512,0.028358169016428292
512,0.03257194103207439
512,0.02735058404505253
512,0.0277468430576846
512,0.02974929299671203
1024,0.050813956069760025
1024,0.049519982072524726
1024,0.05011151696089655
1024,0.05037436110433191
1024,0.05040509602986276
1024,0.04968067805748433
1024,0.05650198203511536
1024,0.05123341898433864
1024,0.05020888498984277
1024,0.050190988928079605
2048,0.09362465899903327
2048,0.09411302406806499
2048,0.0950477869482711
2048,0.09641691402066499
2048,0.09776541101746261
2048,0.09686069504823536
2048,0.10312810097821057
2048,0.0983852370409295
2048,0.09767179295886308
2048,0.09650345798581839
4096,0.19384741608519107
4096,0.19574432994704694
4096,0.19586002395953983
4096,0.19796656793914735
4096,0.197703861980699
4096,0.19406488595996052
4096,0.1986930089769885
4096,0.19216974498704076
4096,0.1999724020715803
4096,0.19689372007269412
8192,0.41567419294733554
8192,0.41687351290602237
8192,0.414527854998596
8192,0.4154238720657304
8192,0.4075217869831249
8192,0.415634284960106
8192,0.4146403929917142
8192,0.4173190019791946
8192,0.41363943298347294
8192,0.41251422895584255
16000,0.8966094440547749
16000,0.9012687020003796
16000,0.8990004729712382
16000,0.9020501639461145
16000,0.8995043350150809
16000,0.9016675850143656
16000,0.9042498640483245
16000,0.9016285659745336
16000,0.8924073510570452
16000,0.8994650039821863
