strat,rate,reqs,conc,ttft_med,ttft_mean,ttft_p95,itl_med,itl_mean,itl_p95,outtps,n
synchronous,,0.23333333333333334,0.9998953918615977,81.44354820251465,82.89548446392192,84.33270454406738,16.281424316705444,16.31390237582544,16.46126672333362,60.38299000832335,29
throughput,,6.724999999999999,406.4658658822378,12015.281438827515,17230.860135932962,49099.92957115173,164.97974021762025,169.17716069282596,207.7603583242379,1659.1376128174911,808
constant,1.0447916666666666,1.008333333333333,4.6988180915514635,91.94517135620117,92.43683150557221,99.93338584899902,17.75708666034773,17.774401551004168,17.88789337756587,259.49627256832736,122
constant,1.8562499999999997,1.7833333333333328,9.030178376038869,92.73123741149902,92.89831870070128,100.30937194824219,19.475481556911095,19.491940132750678,19.610318015603458,457.50074802760867,214
constant,2.6677083333333327,2.55,13.934296880165736,93.9643383026123,94.11187746625771,102.01239585876465,20.963544471591128,20.990600900844328,21.159818125706092,654.7137323929849,307
constant,3.479166666666666,3.3083333333333327,19.958591862519583,93.46365928649902,93.76579852559459,102.2346019744873,23.236314923155543,23.23078525654846,23.366475572773055,848.7964418660619,398
constant,4.2906249999999995,4.058333333333333,27.198816315333048,95.46470642089844,95.34866658079551,103.62744331359863,25.93840991749483,25.90702234050015,26.06648931316301,1039.7317459749568,487
constant,5.102083333333332,4.791666666666666,36.07451542814572,98.14143180847168,98.38979803997537,107.50555992126465,29.23632416070676,29.136059769990602,29.596283856560202,1227.7198538436435,575
constant,5.913541666666665,5.5,46.18583238522211,100.19302368164062,100.33170358135553,109.79628562927246,32.56576949474859,32.48667597455968,32.739528020222984,1410.7240522351767,661
constant,6.724999999999999,6.208333333333332,57.91176648537318,101.55749320983887,101.76678727937225,111.69004440307617,36.26486834357767,36.17964222613472,36.450649710262525,1590.8594242363959,745
