B,repeat,stream_index,k,start_minus_fire,end_minus_fire,t_iter_observed,injection_ttft
4,0,0,2,-0.43958794907666743,0.1321782210143283,0.5717661700909957,2.069508173968643
4,0,0,3,0.1321782210143283,0.1469133630162105,0.014735142001882195,2.069508173968643
4,0,0,4,0.1469133630162105,0.7070527200121433,0.5601393569959328,2.069508173968643
4,0,0,5,0.7070527200121433,1.370874239015393,0.6638215190032497,2.069508173968643
4,0,0,6,1.370874239015393,2.069760071928613,0.6988858329132199,2.069508173968643
4,0,1,1,0.1467697590123862,0.7069082519738004,0.5601384929614142,2.069508173968643
4,0,1,2,0.7069082519738004,1.3707356019876897,0.6638273500138894,2.069508173968643
4,0,1,3,1.3707356019876897,2.069913993938826,0.6991783919511363,2.069508173968643
4,0,2,1,0.13209242292214185,0.1468510809354484,0.014758658013306558,2.069508173968643
4,0,2,2,0.1468510809354484,0.706985799013637,0.5601347180781886,2.069508173968643
4,0,2,3,0.706985799013637,1.370808313949965,0.6638225149363279,2.069508173968643
4,0,2,4,1.370808313949965,2.069669676013291,0.6988613620633259,2.069508173968643
4,0,3,1,-0.439747566008009,0.1317205069353804,0.5714680729433894,2.069508173968643
4,0,3,2,0.1317205069353804,0.14645416394341737,0.014733657008036971,2.069508173968643
4,0,3,3,0.14645416394341737,0.7067223759368062,0.5602682119933888,2.069508173968643
4,0,3,4,0.7067223759368062,1.3705919459462166,0.6638695700094104,2.069508173968643
4,0,3,5,1.3705919459462166,2.0698385229334235,0.6992465769872069,2.069508173968643
4,1,0,3,-0.1570198331028223,0.15001251397188753,0.30703234707470983,2.093164680991322
4,1,0,4,0.15001251397188753,0.15908407990355045,0.009071565931662917,2.093164680991322
4,1,0,5,0.15908407990355045,0.722572682891041,0.5634886029874906,2.093164680991322
4,1,0,6,0.722572682891041,1.3880087799625471,0.6654360970715061,2.093164680991322
4,1,0,7,1.3880087799625471,2.0912798709468916,0.7032710909843445,2.093164680991322
4,1,0,8,2.0912798709468916,2.0950998089974746,0.003819938050583005,2.093164680991322
4,1,1,1,-0.15649518603459,0.15015419095288962,0.3066493769874796,2.093164680991322
4,1,1,2,0.15015419095288962,0.15915574796963483,0.00900155701674521,2.093164680991322
4,1,1,3,0.15915574796963483,0.7226748539833352,0.5635191060137004,2.093164680991322
4,1,1,4,0.7226748539833352,1.3880871998844668,0.6654123459011316,2.093164680991322
4,1,1,5,1.3880871998844668,2.091009964933619,0.7029227650491521,2.093164680991322
4,1,1,6,2.091009964933619,2.095163670950569,0.004153706016950309,2.093164680991322
4,1,2,1,0.14986128790769726,0.1589971879730001,0.009135900065302849,2.093164680991322
